Star Rating,Nature of Rating,Review Comment
1-star,0,chris is a very rude person. gave me an attitude about him not having change. some people should not go to work if there in a grumpy mood. it shows
5-star,1,one of my favorite gas station to stop at. the store is always clean and the staff is friendly. this location is convenient and has a red box outside the store. the have hot and ready to serve pizza and wings as well. one thing i love about this gas station i can't even recall a time where someone has come up to me and asked for money which is definitely a plus. the pumps are always clean and the parking lot is always kept up. i can say i actually look forward to stopping here and filling up with petro!
3-star,0,"oh thank heaven for seven eleven! i don't know about that, but i thank seven eleven for instant brand recognition. convenience stores are a dime a dozen. but seven eleven stands out from the competition with its famous brands that include the big gulp, slurpee, big bite hot dog, seven eleven nachos, and seven eleven coffee. it's not the above seven eleven brands that draw me into this location. it is the seven eleven gasoline. when i drive from green valley toward the northwest bound 95 or northeast valley with a low tank of gas, oftentimes i stop here. i appreciate that there is sufficient room to maneuver a vehicle around the gas pump islands. i appreciate that seven eleven takes graffiti seriously. disparate from several of the valleys gas stations, the pumps are free of the graffiti that is commonly carved into the gas pumps. i also appreciate how this seven eleven spruced up a blighted corner. i take it back, i also appreciate the big gulp, that i pick up for the drive north. you might ask, ""how is seven eleven gasoline?"" seven eleven gasoline is one of the brands that i have been using with my last three car leases. i have been fueling my motor vehicles with seven eleven gasoline, and never had an engine problem. in the exact style of many seven elevens, this location is clean and modern. even though it takes me a few minutes to pay and fill up my motor vehicle, it is a short period of time well spent. and in a short period of time i shall return to this seven eleven."
5-star,1,"five stars because of the guy who works weekday mornings (around 8-9am-ish.) he is awesome, friendly, fast service, patient when i'm paying with half card, change and pocket lint! i observe he treats all customers well. i'm fond of the tall, super-early morning guy as well. this is my favorite 7-11. it is also very clean."
5-star,1,i had the best experience here!!!!!! all the employees are very nice and helpful..... i will definitely return with any and all my vehicles needs......
1-star,0,"my objective with this shop was to find a good, and fast oil change place that won't upsell. unfortunately, i failed miserably at that. here's why:1) it took 40 minutes to do an oil change at 8am opening, no lines. 2) the service manager used bait and switch tactics on me. 3) he used fear tactics to try and get me to do an expensive $1580 repair. 4) this shop didn't really want to honor the $10 oil change coupons they sent out. i would suggest that they try and build trust and loyalty with the community instead of scams. needless to say, i won't be coming back and i can't wait to own a tesla so i don't have to deal with shops like these anymore. i'll have to look for another oil change place for my next time. i wished vegas had honest and quick shops like the oilmen in los angeles where i moved from. here's the timeline of events that transpired for me: got there at 8:03. service manager greeted with a smile. i presented with the $9.99 coupon for oil change. his face changed immediately from welcoming to disappointment. he tried bait and switch, telling me my hybrid requires full synthetic and that i couldn't use the oil on the $10 coupon. i said no, i like the regular stuff. he hesitantly told me to go check in with the clerk, they will use the regular oil as i requested on my car. i checked in. a few minutes later the technician brought the car up on the lift. he began draining the oil. my car was left alone for a while. then the service manager did his inspection, then came to me and said my suspension shocks were at the end of its life. replacement was $1580. he used scare tactics, such as your car has high miles with 170k miles, and they were supposed to only last 70k. i refused my car drives just fine. he said i needed new engine air filter for $24.99. i waited a bit before answering, his face was hopeful. he asked if i want it, i said no, then he just walked away with a mad-disappointed face. sorry, but i can change my own air filters, which i have at home. the technician took another 10 minutes to change the oil filter, and then put in the oil. my car was done. i went into the clerk's office and waited 10 minutes before i was able to pay. though i won't blame her for the slow service she was on the phone with another customer. all in all, i got there at 8:03am, i was finally able to get out at 8:45am. i did stand by my car the whole time to watch them and i inspected my car afterwards. i've seen some bad shop videos on youtube."
1-star,0,"absolute worst service ever. went in for oil change and was charged $10 more than advertised rate. did not top off fluids like they advertised they would. also tried to up-sell me on everything imaginable. told me my brakes were bad even though i had just had them serviced at the dealership 6 months ago. told me that i would never pass smog test because my filters were so bad, just passed yesterday with flying colors. would not recommend this place to anyone. steer clear!!"
5-star,1,love love love their customer service. i come here regularly for tune ups and always leave satisfied. lena in the front always takes care of me and one of the managers always greets me with a smile. i come to this location the most but have also been to others. pretty consistent service all around.
1-star,0,"i took my friend to this shop to get her oil changed. she said they had a deal going for a $10 oil change with tire rotation. they asked what kind of oil she usually puts in the car. she says either full synthetic or synthetic blend. they then proceed to tell us that you should never go back to anything else once you put full synthetic oil in the engine (which is a huge myth/lie, he must have assumed i didn't know anything about cars because he insisted on trying to convince me to go full synthetic) i told them we'll just do the synthetic blend. they agree, take the car in the garage for about 20-30 mins and come back in to tell us that her car doesn't take synthetic blend oil and we would have to pay for full synthetic. i laughed and asked for the keys back. auto shops like this try to take advantage of people everyday. be smart and don't ever take your car to this place."
1-star,0,this place is a joke !!! byron the store manager is a straight fraud what a piece of shit !! i know for a fact he has been ripping off anyone that doesn't no better about cars young girls especially !! i don't recommend this place to anyone i wouldn't let them put air in my tire because this is for sure the type of place that breaks things on purpose so they can make more money !! the young girl that just came to your store this last week she had a bad hose to the radiator and a missing gas cap they charged her 150 dollars for that !! then 3 days later her gage is saying over heat!!!! just perfect !! so she's brings it back and low in behold that same hose connecting to the radiator a little piece where the hose connects to that they just replaced is cracked and broken !! so now these idiots tell her she needs new radiator and they want another 500 bucks !!!! fucking scum bags please never go to this idiot be smart do your research . by the way i talked to this young girl and she go the radiator and the whole thing done for a 140 bucks . see ya assholes never !!!!
