Star Rating,Nature of Rating,Review Comment
1-star,0,"stood in line like an idiot for 5 minutes to purchase 2 pants and was ignored by 2 cashier's (one was doing inventory on a paper or something and the other unboxing somethings). probably because how i was dressed and my skin color, i like being very comfortable on my days off. i throw my things on the counter and walked out. i will gladly take my money else where."
4-star,1,another great store with quality equipment. the staff is super friendly and helpful and was able to help me find what i was looking for quickly
5-star,1,"the problem with this store is not that they have awesome customer service. it's not that their entire staff is absolutely friendly. it's not that their inventory is amazing, it's that i can never choose just one thing so i end up buying what i need and then just come back to buy what i want. it happens to me all the time i go there! i'm the, ""just take my money,"" guy when i'm there. see what i did there [insert devilish smile]... but seriously, i mean every word of awesomeness that i said. i'm already a huge and loyal fan of 5.11 products but it's the overall customer service and experience the staff provides and believe me, from the moment you walk in until the moment you walk out, without fail, you will be greeted, welcomed, asked if you have any questions, reminded that someone's always there for you, assisted, and overall satisfied and confident knowing that the experience will never change every time you visit and shop at their store. you can tell that 5.11 seriously cares about their patrons and customers by selecting the best employees to staff and represent their company! way to go 5.11! you guys are awesome!"
5-star,1,great place! we went in at almost closing time and we didn't feel rushed to purchase. the employees were knowledgeable and friendly.
5-star,1,"love this shop. the employees are incredibly friendly and patient with all o our questions. there's a large selection of men's and women's clothing. it's great to be able to try things on before purchasing, even though the 5.11 catalog is extensive, it's sometimes hard to tell how some things will fit. my wallet is always a bit lighter whenever i leave the shop."
3-star,0,"i'm with others' who tried to exchange something and were not able to. i spent nearly $600 on three pair of pants, three shirts and two belts. the pants that i bought had an expandable waistband which i did not see before getting them home. they didn't fit right from the start, then i noticed the waistband. i can't stand expandable waistbands. i'll take them to a tailor/seamstress and get them altered. they are very nice but when you spend that kind of money out of your own pocket and have a problem, you should be able to exchange them. the manager i spoke with was very professional and i could see he sympathized with me but there was nothing he could do. he did say they were having a big sale after thanksgiving and yes! i'm going to see what they have. rick c. be safe firearms instruction las vegas, nv."
5-star,1,"have bought 5.11 tactical shirts and pants on line and have been very satisfied. while in las vegas, my wife and i needed waterproof jackets to go whitewater rafting in the grand canyon. they had a great selection of everything including the jackets and we were quite pleased. staff was very helpful and knowledgeable. nice quality as expected an i was bone dry. although i will continue to by online, i will shop here every time i come to vegas."
5-star,1,everyone here is very nice and patient and when there is a sale they recommend the sale rack and recommend new items and free promotions !
5-star,1,"i've bought products from this store online as well as at bass pro shops so you can imagine how happy i was when their own retail store opened up two years ago. located off dean martin drive and the interstate 15 between flamingo and tropicana, the store is on a relatively central location off the strip. all the retail staff are knowledgeable and you can tell they believe in the high quality products they sell. they have clean fitting rooms as well as a wide selection of women's and men's apparel as well as tactical accessories. keep a lookout for deals as i took advantage of their discounts during father's day weekend and other events. i like how this location now not only carries yeti products but also has carries the high quality coffee brand that is made by military veterans. i literally walk into this store twice a year and spend a couple hundred dollars and am more than satisfied."
5-star,1,"we had an awesome experience here. karlie and nessa (vanessa) helped us a ton. we came in with a list and they knew exactly what he needed. vanessa grabbed pants for him to try on and by the time he knew what size he needed, karlie had already pulled everything else we needed from the shelves and was ready to ring us up. they had a few items that weren't in stock, but karlie ordered them and we'll be able to pick them up as soon as they come in. she packed all of his items into the bag we purchased to make it easier to carry. she went above and beyond customer service by casually chatting with us while we browsed, sharing advice, and even telling me how to wash the pants we purchased. this was an awesome experience-we will definitely be back!"
5-star,1,the store is always clean and organized and the team is on it. thanks again karlie for all the product knowledge and help!
5-star,1,"took advantage of their awesome fathers day sale last week and spent a bit to get a lot of good deals! the staff were very helpful! one thing i can say is ""i'll be back!"". if i could make a suggestion, it would be to have a few shopping carts for tactical gear junkies like myself. i had to clutter their countertop with all of the items i was purchasing that were on sale. i think i actually used up all of their shopping bags on my purchase. thank you, las vegas' 5.11 tactical store staff!"
5-star,1,"karlie and caitlin are awesome, every time we come in they are extremely knowledgeable and courteous. great to deal with and we always leave happy"
1-star,0,"i attempted to exchange my comically oversized shirt and wasn't able to since it had been washed. if you have expensive merchandise in a poor location, you'd better damn well have excellent customer service if you hope to keep a loyal clientele. good luck with that."
5-star,1,"i was in need of a 1.5 inch tactical belt. i don't remember the girl that helped me but she suggested i size up. thank god i did, the belt is perfect. i got the 511 trainer belt. service was excellent. i will be back for a qalo ring, and a new backpack soon. thank you 511 tactical!"
5-star,1,awesome customer service everyone of their employees went out of their way to make sure we had no questions and found everything we were looking for. the merchandise is killer. can't beat their prices. very clean and and well organized.
4-star,1,"although i have yet to meet gage for myself, my husband particularly likes working with him to find what he needs and what other range employees need when he comes here. usually john is never adamant about that kind of thing, but because he has mentioned it, i know this guy must be great. i came here the other day to look for some shoes i had seen online. unfortunately, they didn't have it. however, i know i can order them from the store. sweet. i ended up swooping a pair of pants though. i appreciate that they have a changing room, too. this isn't a dig on the store itself because it's not their fault, but some of the women's 5.11 products are pretty lame. why don't they make anything in multicam or od green for women? the shirt graphics are also a little corny. maybe i'm just not tacticool enough or something. but they do have their ccw bags and a full length mirror you can check yourself out in to see how you like it. this last trip up, customer service was great from the guy. the female was standoffish and definitely wasn't as nice to me as a few of the other ladies that walked in before me. she was happy to mention discounts and sales going on to them, but not to me. oh well. i'll remember that next time and ask someone else for help if i need it."
5-star,1,"great selection, yes the prices are high but they mainly only sell 5.11 products which from my experience are of the highest quality. i had a issue with water getting into the leather on a tactical boot that i bought there they replaced it with out any issue. staff is knowledgeable and attentive. only problem is i can't get everything i want when i'm in there."
1-star,0,"this place has all sorts of 5.11 goodies. unfortunately,they have some serious issues when it comes to customer service. i picked out a number of items and went to the counter to get rung up. not a lot of stuff, less than $100.00. for some reason, the cashier asks for my name, 'for the receipt'. fine, i give it. they ring the items up, and i prepare to swipe a visa vanilla cash card, one of the ones you get with no customer name on it. the cashier says 'before you swipe, i need an i.d. well this is something i have never had asked when using these cards. there is no need for these guys to see your i.d. i decline to show, mostly because it is outside in the car. cashier says' i need to see an i.d.' at this point, i have had enough. i guess they do enough business to turn people away, and i am very suspicious of what they are going to do with my personal information. so i tell them to get a clue, and walk out of the store. so all in all, don't bother, just use the internet."
5-star,1,the staff is really nice and the clothes are great quality. they didnt have any sales though so your gonna be paying alot of money.
5-star,1,"the customer service is amazing here. i literally downloaded this app because of the compassion towards there customers. i came in needing some new work pants. not only were they more then willing to help, but they were extremely knowledgeable on there product. what really got me was i had recently just purchase a pare of pants from them several months ago. they were made 3 months old an the inseam of the pants. long story short they took care of the issue. mind you there not cheap product, but they have the best product an they stand by there name. if u ever happen to come in make sure you speak to austin, gage, karlie. they are marvelous."
5-star,1,i've purchased pants online from 5.11 and i really love them. i didn't know they had a store here in town. went to check it out. they have a pretty big selection and all sizes including long inseams on pants. i mostly looked at the women's stuff. i was liked for gym shoes but didn't find what i was interested in from their online store. no worries though. when i need pants it will be nice to be able to try them on before buying. the employees were super nice. i was created right away and they were helpful. i ended up only buying a hat since i mostly just came down to check the place out as something interesting to do...but it's a kick ass hat haha. i'm be back for the pants later.
5-star,1,"great selection of high quality merchandise for outdoor activities such as camping, hiking, and exploring. their outdoor clothing and backpack selection was exceptional along with a nice military grade boot inventory. the staff is absolutely fantastic, very personable, polite, and helpful. i would absolutely recommend this place for your outdoor activity needs. enjoyed the experience at 5.11 tactical."
5-star,1,"i showed up a bit before noon on saturday 9/17. i didn't expect to get any help as i figured that would be a busy time of day. anyways, i had absolutely no intention of getting anything. i just needed to figure out the correct size i needed in a pair of their pants. (work was going to buy them). well, the staff was beyond helpful. i decided to look around and got a few things because of how great they were. you can tell that the crew working that day liked each other and their job. i'll be back. i wish customer service was always this good."
4-star,1,"great place. all the employees were friendly and eager to help. the prices were very low compared to calvada or american shooters. the only thing was i wished they had more of a women's selection for tops, but what can you do."
2-star,0,"not a bad place if you like 5:11 511 or 5:11 lol they definitely have a decent selection of commonly needed items and offer knowledgeable service on the carried product but because it is a corporate store and corporately trained . what is lacking is the customer service and attention to detail that you get from a mom and pop shop so if you like all the flash look coolness....go here.. to me the service is better at other supply houses that also offer you other brands of non clothing items so it can be a one stop shop with complete service for all your needs instead of running all over town 4 common items that you need . it appears that they are trying to open all their own stores to pigeonhole out the little guy from carrying their product. it comes across as pure greed!! to be honest the last two pair of shoes / duty boots i purchased fell apart extremely quickly if the quality of the product keeps going down and they seem to just want more money ....proper seems to be making a better product these days, and that might be the route we will have to go .this does tend to cater more to the civilian market who like to look operatorish . lol they did not even have patches that were not made by 5:11 it is the equivalent of going to a 511 walmart i hope they care enough to take note"
5-star,1,"this store has every single piece of 5.11 gear and a bit more. friendly people and pretty good prices, 5.11 prices are the same everywhere you go. they also had specific 5.11 las vegas tee shirts too. very cool!"
5-star,1,"this store is awesome has everything you want and more for both gals and guys!! the quality of their merchandise is amazing, the customer service is out of this world and the employees are always so nice and so knowledgeable!! perfect place to get the perfect gift no place like it!!"
1-star,0,lots of people standing around talking about what they did last night. not one person asked if we needed help at any point in our 30 minute visit. why so many employees? are they strictly cashiers and not supposed to greet and help out customers. lame
1-star,0,i have tried to skate this place several times but it's always closed. it would be nice if they were open for people who skate on the weekends.
5-star,1,"i had skate here many times and everyone is so friendly and the park is really good. the staff will offer to help you out for free some times and i gotta say, i learned a lot from those quick lessons. if you don't have a board you can rent one for super cheap and the admission is also really cheap. i will continue to come back here and skate i love this park!"
2-star,0,there is no structure to their lessons. a lesson could have one kids or six. many times the teacher gives little to no attention to your child. we tried to talk to the owner and left voicemails and wrote emails...no answer.
5-star,1,great skate park for the whole family. great people. staff is amazing. thank you for making such a great environment.
5-star,1,"great facility run by awesome people. my son never touched a skateboard before this week and within 30 minutes he was dropping in. he's a good athlete so all results won't be the same but the teacher is good, knows his stuff and loves what he does. if you got a kid who skates or wants to learn this is a fantastic place to check out."
4-star,1,"very nice and clean indoor skate park. the young man that helped me was very informative on the going ons of the place. came in looking to get items for a young skater,he took the time to help with what i would really need and not what i came in for. some would say that that's a salesman but when he talked me out of spending 100s,when all i needed was 35,that's a tru person of the sport. i will be back for more."
5-star,1,"this place is awesome! just a very friendly and positive environment that is great for all skaters, especially the younger ones! clean and spacious with reasonable prices, not much else you can ask for. my younger brother loved it and i'm sure all skaters would!"
5-star,1,indoors for the az heat and coaches such as myself to help influence the next generation of skateboarding. come in and say hi!
5-star,1,i love this place. mike who runs the place is super cool and excellent with kids. our coach for my son greg and jj are also pretty dope. they've taught my son a lot and we went from having 100% fear to having almost none at all. we do the skate lessons and will continue to do so. this place is awesome. thanks guys a lot!
5-star,1,"what a cool concept! skateboard park indoors! brilliant idea for arizona heat. skateboarding is just so cool for kids of all ages and we can look for it with adults in the olympics too. mike has done a great job with this place. he teaches lessons and his son, laser is pretty awesome on the skateboards himself. mike has a passion for skateboarding and teaching kids how to board. he's cleaning up the sport one kid at a time. this undoor fun skate board park opened 2 months ago and you can buy memberships. dont be scared if you're not great yet cause thats what the leasons are for. also, they sell ramps and skateboards so you can find what you need here. interior is way cool and your kids will fall in love and wont want to leave. great way to keep them active, out of the son and having fun!"
3-star,0,"i love coming here! the drink's and food choices aren't much above your typical cafe, but what distinguishes itself is the atmosphere of a kwerky little cafe shop where you can crack out a chess board for a couple hours."
4-star,1,enjoyed an ice coffee and grilled cheese today. nice homey old fashioned decor with a built in used bookstore. service was awesome and super friendly.
3-star,0,"i was walking along main street when i passed by this place. it caught my attention as it had shelves of books in the back, like a library. only it's a cafe. some of the books have price tags on them so i'm assuming you can buy the books. the drinks and food were reasonably priced. you have to add your own milk and sugar to your drink. the pastries/food didn't look that great, but maybe they taste better than they look. there's also a card you can get stamped so you get a free beverage for every 10 you buy. i ordered a coffee ($1.75 after taxes). there isn't much to say about it, it was a regular coffee. i enjoyed the atmosphere of the cafe. it's a nice place to sit and relax. plus the seats were comfy! there were also a small assortment of boardgames that you can play."
5-star,1,"stumbled across this gem after eating dinner nearby. it has used books, ice cream, coffee, and pastries, and a lot of charm. i can't put my finger on it, but those aforementioned things, as well as old antique furniture and friendly staff made this place seem pretty magical to me. take a look inside and grab a coffee while you're at it."
5-star,1,"love this cafe! lots of character! great cakes and tea! every time we go there it's so peaceful there, and lots of books to pick."
3-star,0,"if you wants to be feel nostalgic, you might like it here at books cafe & things. you will find yourself surrounded by antiques, old books, cds and old country music while you surf on the internet. that might be your only connections here to the modern life. sipping my tea while listening to folks talking about hockey: contracts, lockout, fighting... a small stage in the middle of the cafe which live music events are held on saturdays and even has psychic reading sessions every saturdays. if nostalgic is your thing or you want a change of scenery, books cafe & things might be your kind of cafe."
5-star,1,"i really enjoy shopping at a second look. what great quality items! it feels like you are in a fine boutique, and they are making it better all the time! you can find such great quality items for a fraction of the price of retail. i am a shoe fanatic and have bought 1/2 my best shoes here as well as other fashion items. i also consign here and have always been treated very well and enjoy bringing items which sell pretty quickly because second look has a great customer base, and new people finding out about this hidden gem all the time. highly recommend you check it out yourself!"
1-star,0,"i agree, a 2nd most unpleasant customer experience in a row deserves a review. i will not consign again until the tall, miserable guy is gone! i usually carry a balance but i cashed out my $350 because of him."
5-star,1,"i have been a customer for a long time and the staff has always been friendly, knowledgable, and available when you need to find something. i trade in my clothes and the process is quick and easy. the two men (josh and dave) are always friendly and willing to help you. they work very hard and keep things organized. i think it's the best that i have seen in all the years that i have been there. i like that they have all sorts of other things to buy. it's not just clothes but a lot of household goods to update your decor. it's just a fun place to spend a few hours either buying or looking!"
5-star,1,"omg....i don't know anything about consigning here, but shopping here gets a well deserved 5 stars. i spent over three hours there today! there are so many good deals and the store is extremely clean and organized. i purchased new michael kors sandals, five skirts for work and three dresses for about $50. their awesomely fun system makes it a treasure hunt....a sliding discount scale for how long the item is on their floor. everything i purchased was either 50 or 75% off. definitely fun to shop here. the housewares are very nice too!"
3-star,0,great for the buyers not so great for the seller. they store gets 65% the seller gets 35%. don't take high end golf items here. the appraiser does not seem to know what a taylor made golf driver is worth . they sold mine for $12.50 i got 3% of that .
