Star Rating,Nature of Rating,Review Comment
1-star,0,"i was really excited to try a fun workout routine that would also do some damage. i showed up with a friend and two other girls who had made a reservation like the groupon specified. well imagine our surprise when the trainer wasn't there. we made contact with him and he said to ask another trainer to get us started and he would be there soon. you should know now, that he never showed up. secondly, the other trainer is technically a part of anther company that shares the garage. so the poor guy was stuck with clients that didn't even pay for his services. but he was willing to keep us busy with running drills, a little weights and such, but nothing boxing related. (again not his fault) he was great. but i definitely returned my groupon because the 1on1 boxing instructor definitely didn't bother to honor his own conditions. i even called him the next day to confirm that he would be there and he said of course he would. so i mentioned that i was a part of the group from that morning when he didn't show up and he said ""oh...well you were trained by (other trainers name)."" i thought that was a poor excuse."
2-star,0,"i was interested in taking a boxing bootcamp class, did some research and found 1on1. their pricing is reasonable, they offer monthly memberships, and they have multiple classes a day. the workouts are tough, usually there's a combination of boxing, circuit training, and crossfit type stuff. the regulars who go to the class i went to were fun and made it a good time. so why only 2 stars? when i started, our classes were ran by a young woman name amy. maybe it's just a style of training, but she always seemed completely disinterested or preoccupied with something else. then a new trainer came, justin, and he was much more involved and encouraging during the workouts. he listened to our feedback, modified the class occasionally to meet certain needs, showed us beginner versions of the exercises, etc. he was present and attentive. he'd throw in the occasional ""good job"" or ""you're improving"" along with the ""push harder"". those types of details make the mentally/physically tough workouts something you keep coming back to. but something happened. justin stopped working there and it was back to amy. and it was worse than before, she would run the class but be on her phone the whole time. or she'd leave the room when we were doing a timed exercise and she'd have the timer! there were also those days where she would not play any music because she didn't want to listen to the radio. i'd especially look forward to the days when she'd tell us she designed that day's workout to make us throw up and proceed to sit on her butt the entire class on her phone texting/talking. she'd usually let us know that when she was training, she'd do what we were doing but 3x as hard, blah blah blah blah. i didn't realize all of this wasn't ""normal"" until i started at another boxing gym in the valley. when i decided to not return they had started with a new trainer for the bootcamp class. he seemed to be running the bootcamp class and some other classes at the same time, so he was stretched thin. perhaps the same thing happened with justin. anyway, i didn't stay to find out."
4-star,1,i worked out at 1 on 1 boxing for a bout 6 months and i loved it! the pricing is reasonable although they really should offer a punch card for people who do other types of fitness and won't get much out of the unlimited plan. they switch out their workouts and always keep you guessing. the workouts are challenging and i saw a significant difference in my body after only 2 months. if you've never tried boxing i highly recommend it. it's a great alternative to regular cardio/weight training. i'd still be there right now but w/o air conditioning it's way too hot. i plan to return in the fall though
4-star,1,"this place literally kicked my butt every. single. time. i actually dreaded/hated working up the nerve to go back, but was soooo glad every single time after class. i had the livingsocial deal (unlimited month), which is pretty great deal, considering an unlimited month is $99. yelp offers a deal to help out as well. i like how every workout is different, and you really do see results fast. there's a new instructor now, and i feel like the classes are more conditioning/less boxing. kinda made me feel like buying my boxing gloves was not worth it (btw, go to sports chalet for the best deal on gloves/wraps - aside from amazon!) for new-goers: go a bit early to your first class to sign-in, wrap up, and run your 1/2 mile warm up. the gym is randomly in this little office-complex like place, in the south-east corner. you can't see the door from the street, so make sure you look at the signs for the suite #; from the entrance, make a left and head to the back corner. i recommend going to the 6pm class if you can, as there are others to work out with. don't be worried about looking like a newb - there were lots of regulars, that have been doing bootcamp for years, and they were still struggling. they really work you hard!"
5-star,1,great place to work out! jerry has been great with the kickboxing skills! he makes sure you are safe and still getting a good workout. i leave drenched in sweat every time!
4-star,1,"although i wouldn't consider myself uber fit, i do enjoy exercising through different types of workouts from bikram yoga to resistance training and hybrid boot camp type workouts. doing both martial arts and boot camps in the past i was expecting a challenging but not necessarily a killer workout. i was wrong! although boot camp type workouts are often challenging, i feel the classes are often watered down a bit to the level of the overall level of the group. however, at 1 on 1 boxing, if the instructors feel like you can do more, they push you to do more. if you the 10 pound medicine ball is too light, they'll give you the 12 or 15. if you are slacking on punches, they get on you to punch harder. i haven't had a workout yet that i walked away feeling unchallenged. what i do like is that the workouts vary from class to class. some days it's all leg work (which i hate, but usually means that's what i need to work on) to boxing drills to medicine ball work to old school skip rope, running and sit ups. a big plus for me is that there is no cursing - including the music that's played. i hate cursing and the disparaging comments that often come along with it. being vulgar doesn't make me feel more like a fighter. my only con is this. i would like them to offer another option for their classes. it seems it's just one deal with $99 for unlimited classes. if they had a punch card type system at a reasonable price i would go for it."
5-star,1,"when i wanted to get in ultimate shape for my wedding, i knew i need a fun, varied and one-of-a-kind workout program. i found chris at 1on1 boxing fitness through one of my friends. as a fitness enthusiast, i went in confident that i could keep up and not expecting much of a challenge. evidence to the contrary. i left my first session covered in sweat and out of breath. the workout was non-stop and totally crushed my preconceived notions! the next day, muscle i didn't even know i had were sore. after 8-weeks of boxing, my arms are tighter, stomach is flatter and my legs look fabulous. if you're looking for a challenging but extremely effective workout, i highly recommend 1on1 boxing fitness."
5-star,1,"chris and his staff are amazingly committed to every client's success. the gym is open, friendly, and the workouts are intense, but also customized for every level of fitness and ability. don't have to want to box professionally to benefit from this one-on-one approach....even my 8 yr old son is counting the days until he's able to start training with chris! love this gym!"
1-star,0,"signed up for a membership in 1990, lifetime family membership in california. i continued to pay my dues each and every month regardless if i went or not. i moved to az sept 2014 and notified them of the move, went to their gilbert facility. 24 hour fitness sold out to la fitness here in az and did not notify me. i try to go back to the gym after being on medical and found out that i cannot go so i called 24 hour fitness. was told by the representative that my membership should have been transferred, went into la fitness and was told that was not true. i was told that since my membership was bought in california that i was not eligible for the az transfer even though i had notified them that i live in arizona. this transfer was 5 months ago while i was on medical, they continued to take the payments out of my account, not notifying me of the sell to la fitness and now they will not let me go to la fitness. i called 24 hour fitness once again, was again told that they did not transfer my lifetime membership to arizona but i could still go in california. why would i want to do that - what part of living in arizona did they not understand? they will only return this month's dues and cancelled my membership. i sent an email to their corporate and one week later still have not heard from them. they are liars and cheats. do not go to these people - after being a member for 27 years, they will not work with you! they should be sued for fraud."
4-star,1,"this has been my gym for the past 2 years, it is a nice location with nice equipment and pleasant staff. there is always room to work out on whatever equipment you desire and the price is very reasonable as well."
